Document_ID,Document_Name,Document_Type,Category,Sub_Category,Source,Source_URL,File_Path,File_Size_MB,Page_Count,Date_Published,Date_Acquired,Date_Processed,Processing_Status,Language,Contains_Tables,Contains_Images,Confidentiality,Retention_Period,Owner,Quality_Score,Final_Decision,Final_Selection_Rationale,Supporting_Factors,Notes
CAND_7283366E31,CAND_7283366E31_Georgia%20Business%20Incentives%20Brochure_201404101530397659.pdf,PDF,Policy and Localization,Incentives and Localization,powderspringsga.gov,https://powderspringsga.gov/DocumentCenter/View/2486/Georgia-Business-Incentives-Brochure,/home/sm11926/Downloads/Ev_Crawler_Automation/Tavily_ev-automation-main/outputs/pipeline_runs/batch_000_499/final_docs/review/CAND_7283366E31_Georgia%20Business%20Incentives%20Brochure_201404101530397659.pdf,1.85,16,D:20140124110334-05'00',2026-03-25,2026-03-25,Curated-Review,Unknown,Unknown,Unknown,Public,TBD,GNEM Research Pipeline,61.95,Review,Final decision=review. high credibility. direct GNEM use-case fit. page-linked evidence available,"source=powderspringsga.gov; subtopic=policy_localization; hybrid=54.13; credibility=87.84; direct_usecase_pct=92.5; metadata=88.19; evidence_pages=11, 8, 9, 14; capacities=450 million; 150 million; 100 million; 5 million; 25 million; 10 million; 1 million; 7 million; 600 million; 800 million",Passed shortlist thresholds but missed one or more LLM judge thresholds. Credibility=87.84 Hybrid=54.13 CopyStatus=copied
CAND_EA6E724597,CAND_EA6E724597_nvx-ex99_3.htm,HTML,Supply Chain Evidence,Supplier and Tiering,www.sec.gov,https://www.sec.gov/Archives/edgar/data/1859795/000095017024045550/nvx-ex99_3.htm,/home/sm11926/Downloads/Ev_Crawler_Automation/Tavily_ev-automation-main/outputs/pipeline_runs/batch_000_499/final_docs/review/CAND_EA6E724597_nvx-ex99_3.htm,0.03,,2024,2026-03-25,2026-03-25,Curated-Review,Unknown,Unknown,Unknown,Public,TBD,GNEM Research Pipeline,60.85,Review,Final decision=review. high credibility. direct GNEM use-case fit,source=www.sec.gov; subtopic=supplier_tiering; hybrid=53.26; credibility=82.44; direct_usecase_pct=96.1; metadata=91.21; capacities=30 million; 100 million; 150 million,Passed shortlist thresholds but missed one or more LLM judge thresholds. Credibility=82.44 Hybrid=53.26 CopyStatus=copied
CAND_FB025E8336,"CAND_FB025E8336_The_Port_of_Savannah_Logistics_Cluster_Port_Economics,_Management_and_Policy.html",HTML,Infrastructure and Risk,Logistics and Risk,porteconomicsmanagement.org,https://porteconomicsmanagement.org/pemp/contents/part12/port-of-savannah-logistics-cluster,"/home/sm11926/Downloads/Ev_Crawler_Automation/Tavily_ev-automation-main/outputs/pipeline_runs/batch_000_499/final_docs/review/CAND_FB025E8336_The_Port_of_Savannah_Logistics_Cluster_Port_Economics,_Management_and_Policy.html",0.12,,2020-03-07T19:27:34+00:00,2026-03-25,2026-03-25,Curated-Review,Unknown,Unknown,Unknown,Public,TBD,GNEM Research Pipeline,59.6,Review,Final decision=review. high credibility. direct GNEM use-case fit,source=porteconomicsmanagement.org; subtopic=logistics_risk; hybrid=53.83; credibility=79.06; direct_usecase_pct=94.2; metadata=84.33; capacities=15 million; 1.81 million; 1.82 million; 2.7 million; 26 tons; 1.6 million; 400 tons; 1.8 million; 5 million; 5.9 million,Passed shortlist thresholds but missed one or more LLM judge thresholds. Credibility=79.06 Hybrid=53.83 CopyStatus=copied
CAND_AE87F319D1,CAND_AE87F319D1_dlg_ggpd_y-ga-bp900-b-ps1-bp62-b2010-h2011-belec-p-btext.html,HTML,Policy and Localization,Incentives and Localization,dlg.usg.edu,https://dlg.usg.edu/record/dlg_ggpd_y-ga-bp900-b-ps1-bp62-b2010-h2011-belec-p-btext,/home/sm11926/Downloads/Ev_Crawler_Automation/Tavily_ev-automation-main/outputs/pipeline_runs/batch_000_499/final_docs/review/CAND_AE87F319D1_dlg_ggpd_y-ga-bp900-b-ps1-bp62-b2010-h2011-belec-p-btext.html,0.3,,2010,2026-03-25,2026-03-25,Curated-Review,Unknown,Unknown,Unknown,Public,TBD,GNEM Research Pipeline,59.19,Review,Final decision=review. high credibility. direct GNEM use-case fit,source=dlg.usg.edu; subtopic=policy_localization; hybrid=49.01; credibility=83.63; direct_usecase_pct=92.8; metadata=80.61; capacities=32.75042%; 2.356 million; 6.5 million; selected_as_best_near_duplicate_version,Strong enough evidence and ranking signals to keep for manual review even without a strict shortlist pass. Credibility=83.63 Hybrid=49.01 CopyStatus=copied
CAND_A63E959ADD,CAND_A63E959ADD_ea024263701ex99-1_athena2.htm,HTML,Infrastructure and Risk,Logistics and Risk,www.sec.gov,https://www.sec.gov/Archives/edgar/data/1882198/000121390025045028/ea024263701ex99-1_athena2.htm,/home/sm11926/Downloads/Ev_Crawler_Automation/Tavily_ev-automation-main/outputs/pipeline_runs/batch_000_499/final_docs/review/CAND_A63E959ADD_ea024263701ex99-1_athena2.htm,0.05,,2025,2026-03-25,2026-03-25,Curated-Review,Unknown,Unknown,Unknown,Public,TBD,GNEM Research Pipeline,58.61,Review,Final decision=review. high credibility. direct GNEM use-case fit,source=www.sec.gov; subtopic=logistics_risk; hybrid=49.01; credibility=83.3; direct_usecase_pct=84.8; metadata=93.9; capacities=000 Tons; 4.7 million; 24.1 million; 23 million; 8.5 million; 50 million; 25 million,Strong enough evidence and ranking signals to keep for manual review even without a strict shortlist pass. Credibility=83.3 Hybrid=49.01 CopyStatus=copied
CAND_EC164BEA16,CAND_EC164BEA16_savannah-georgia-logistics-hub.html,HTML,Infrastructure and Risk,Logistics and Risk,www.averitt.com,https://www.averitt.com/blog/savannah-georgia-logistics-hub,/home/sm11926/Downloads/Ev_Crawler_Automation/Tavily_ev-automation-main/outputs/pipeline_runs/batch_000_499/final_docs/review/CAND_EC164BEA16_savannah-georgia-logistics-hub.html,0.11,,2022,2026-03-25,2026-03-25,Curated-Review,Unknown,Unknown,Unknown,Public,TBD,GNEM Research Pipeline,58.0,Review,Final decision=review. acceptable credibility. direct GNEM use-case fit,source=www.averitt.com; subtopic=logistics_risk; hybrid=54.26; credibility=74.12; direct_usecase_pct=92.4; metadata=80.19; capacities=1 million; 3 million; 2055%; 6 million; 9.5 million; 2 million; 11 million; 128 million,Passed shortlist thresholds but missed one or more LLM judge thresholds. Credibility=74.12 Hybrid=54.26 CopyStatus=copied
CAND_3084EE6CB5,CAND_3084EE6CB5_exh_992.htm,HTML,Supply Chain Evidence,Facilities and Capacity,www.sec.gov,https://www.sec.gov/Archives/edgar/data/1907184/000117184325005930/exh_992.htm,/home/sm11926/Downloads/Ev_Crawler_Automation/Tavily_ev-automation-main/outputs/pipeline_runs/batch_000_499/final_docs/review/CAND_3084EE6CB5_exh_992.htm,0.22,,"JUNE 30, 2025",2026-03-25,2026-03-25,Curated-Review,Unknown,Unknown,Unknown,Public,TBD,GNEM Research Pipeline,57.54,Review,Final decision=review. high credibility. direct GNEM use-case fit,source=www.sec.gov; subtopic=who_where_scale; hybrid=48.05; credibility=81.77; direct_usecase_pct=78.4; metadata=94.38; capacities=500 tonnes; 1 million; 40 tonnes; 8 billion; 000 tonnes,Strong enough evidence and ranking signals to keep for manual review even without a strict shortlist pass. Credibility=81.77 Hybrid=48.05 CopyStatus=copied
CAND_B256B3B485,CAND_B256B3B485_lineage-expands-port-centric-facility-footprint-savannah-georgia_2.html,HTML,Infrastructure and Risk,Logistics and Risk,www.onelineage.com,https://www.onelineage.com/news-stories/lineage-expands-port-centric-facility-footprint-savannah-georgia,/home/sm11926/Downloads/Ev_Crawler_Automation/Tavily_ev-automation-main/outputs/pipeline_runs/batch_000_499/final_docs/review/CAND_B256B3B485_lineage-expands-port-centric-facility-footprint-savannah-georgia_2.html,0.04,,"December 14, 2021",2026-03-25,2026-03-25,Curated-Review,Unknown,Unknown,Unknown,Public,TBD,GNEM Research Pipeline,57.42,Review,Final decision=review. acceptable credibility. direct GNEM use-case fit,source=www.onelineage.com; subtopic=logistics_risk; hybrid=53.27; credibility=74.12; direct_usecase_pct=92.1; metadata=77.18; capacities=62 million; 2 billion,Passed shortlist thresholds but missed one or more LLM judge thresholds. Credibility=74.12 Hybrid=53.27 CopyStatus=copied
CAND_05B096ACEC,CAND_05B096ACEC_Georgia-Energy-Report-2022_1.pdf,PDF,Policy and Localization,Incentives and Localization,gefa.georgia.gov,https://gefa.georgia.gov/document/publication/2022-georgia-energy-report/download,/home/sm11926/Downloads/Ev_Crawler_Automation/Tavily_ev-automation-main/outputs/pipeline_runs/batch_000_499/final_docs/review/CAND_05B096ACEC_Georgia-Energy-Report-2022_1.pdf,1.62,28,D:20221215092731-05'00',2026-03-25,2026-03-25,Curated-Review,Unknown,Unknown,Unknown,Public,TBD,GNEM Research Pipeline,57.21,Review,Final decision=review. high credibility. direct GNEM use-case fit. page-linked evidence available,source=gefa.georgia.gov; subtopic=policy_localization; hybrid=43.78; credibility=87.36; direct_usecase_pct=82.4; metadata=83.37; evidence_pages=15; capacities=5 billion; 5.54 billion; 1 billion; 1.67 billion; 43 million; 37 million,Strong enough evidence and ranking signals to keep for manual review even without a strict shortlist pass. Credibility=87.36 Hybrid=43.78 CopyStatus=copied
CAND_5F0002B474,CAND_5F0002B474_voestalpine.pdf,PDF,Policy and Localization,Incentives and Localization,georgia.org,https://georgia.org/sites/default/files/2018-06/voestalpine.pdf,/home/sm11926/Downloads/Ev_Crawler_Automation/Tavily_ev-automation-main/outputs/pipeline_runs/batch_000_499/final_docs/review/CAND_5F0002B474_voestalpine.pdf,0.3,2,D:20140424120137-04'00',2026-03-25,2026-03-25,Curated-Review,Unknown,Unknown,Unknown,Public,TBD,GNEM Research Pipeline,57.02,Review,Final decision=review. high credibility. direct GNEM use-case fit. page-linked evidence available,"source=georgia.org; subtopic=policy_localization; hybrid=50.48; credibility=80.99; direct_usecase_pct=85.0; metadata=85.9; evidence_pages=1, 2; capacities=62 million; 3.8 million",Passed shortlist thresholds but missed one or more LLM judge thresholds. Credibility=80.99 Hybrid=50.48 CopyStatus=copied
CAND_4640FCAC80,CAND_4640FCAC80_ttm-ex991_6.htm,HTML,Supply Chain Evidence,Supplier and Tiering,www.sec.gov,https://www.sec.gov/Archives/edgar/data/926042/000156459021050610/ttm-ex991_6.htm,/home/sm11926/Downloads/Ev_Crawler_Automation/Tavily_ev-automation-main/outputs/pipeline_runs/batch_000_499/final_docs/review/CAND_4640FCAC80_ttm-ex991_6.htm,0.05,,"October 12, 2021",2026-03-25,2026-03-25,Curated-Review,Unknown,Unknown,Unknown,Public,TBD,GNEM Research Pipeline,56.94,Review,Final decision=review. high credibility. direct GNEM use-case fit,source=www.sec.gov; subtopic=supplier_tiering; hybrid=49.07; credibility=81.19; direct_usecase_pct=82.2; metadata=84.69; capacities=50 million; 21 kWh; 30.2 kWh; 25.9 kWh; 18%; 47%; 71%; 0%; 10%; 20%; 30%; 40%; 50%; 60%; 70%,Strong enough evidence and ranking signals to keep for manual review even without a strict shortlist pass. Credibility=81.19 Hybrid=49.07 CopyStatus=copied
