Candidate_ID,Final_Decision,Title,Source,File_Path_Or_URL,Curated_File_Path,Query,Query_Mode,Primary_Subtopic,Publication_Date,File_Type,Final_Rank_Score,Metadata_Score,Heuristic_Score,Hybrid_Score,Rerank_Score,Direct_Usecase_Score,Adjacent_Background_Score,Credibility_Score,LLM_Decision,LLM_Relevance_Score,LLM_Usecase_Match,LLM_Information_Quality,Evidence_Page_Numbers,Top_Evidence_Snippets,Keep_Review_Discard_Reason,Extracted_Companies,Extracted_Counties,Extracted_OEMs,Extracted_Ports,Extracted_Facilities,Extracted_Capacities,Extracted_Dates,Curated_Copy_Status
CAND_7283366E31,review,Business Incentives,powderspringsga.gov,/home/sm11926/Downloads/Ev_Crawler_Automation/Tavily_ev-automation-main/outputs/pipeline_runs/batch_000_499/final_docs/review/CAND_7283366E31_Georgia%20Business%20Incentives%20Brochure_201404101530397659.pdf,/home/sm11926/Downloads/Ev_Crawler_Automation/Tavily_ev-automation-main/outputs/pipeline_runs/batch_000_499/final_docs/review/CAND_7283366E31_Georgia%20Business%20Incentives%20Brochure_201404101530397659.pdf,Port of Savannah Georgia battery logistics and supplier network policy incentives IRA tax credit grant workforce site readiness,web_only,policy_localization,D:20140124110334-05'00',PDF,61.95,88.19,87.17,54.13,66.14,0.9245,0.8427,87.84,,,,,"11, 8, 9, 14","[1] from overseas that are used in products assembled in Georgia. Whether a company’s needs are best served by locating in one of Georgia’s industrial parks with FTZ designation, or applying for FTZ designation of an individual facility located elsewhere in Georgia, GDEcD can provide the right contacts to assist with the process. One-Stop Environmental Permitting Georgia is one of a handful of states whose environmental permitting program is consolidated with the U.S. Environmental Protection Agency || [2] Job Tax Credits are subject to program requirements as outlined in O.C.G.A. § 48-7-40.17 and rules published by the Georgia Department of Revenue in regulation 560-7-8-.51. Research & Development Tax Credit Georgia offers an incentive to new and existing business entities performing qualified research and development in Georgia. Qualified research expenses are defined in Section 41 of the Internal Revenue Code of 1986, as amended, except that all wages paid and all purchases of services and supp || [3] others, target groups include unemployed veterans, certain TANF (Temporary Assistance for Needy Families) and food stamp recipients, and certain residents of an Empowerment Zone (EZ) or Rural Renewal County (RRC). Participating companies are compensated by being able to reduce their federal income tax liability with a tax credit between $1,200 to $9,000 per qualified employee, depending on the target group. The most frequently certified WOTC is $2,400 for each adult new hire. An employer must re || [4] Local governments can expand the Freeport Exemption and authorize a call for a referendum to approve the creation of a Level Two Freeport Exemption, which would exempt from local property tax any business inventory or real property not covered in the Level One Freeport Exemption, including retail inventory. Like the Level One Exemption, counties and municipalities may choose to implement a Level Two Freeport Exemption at the 20, 40, 60, 80 or 100 percent level. other Incentives Foreign-Trade Zon || [5] available for investments in recycling or pollution control equipment and for defense plant manufacturing conversion to a new product. The duration of a project shall not exceed three years unless expressly approved in writing by the Commissioner of the Georgia Department of Revenue. This credit may be applied against 50 percent of state corporate income tax liability and carried forward for 10 years. To be eligible to receive the credits, a taxpayer must submit a written application to the Geor",Passed shortlist thresholds but missed one or more LLM judge thresholds.,,,,Port of Savannah,"IRA tax credit grant workforce site; Investment Tax Credit, and increase imports or exports through a Georgia port; Georgia companies that have operated a manufacturing or telecommunications facility; Georgia port; Unused child care credits from the purchase or construction of a child care facility; The child care facility; Credits that are related to the operating cost of the facility; By meeting with company officials on site; Base year port; Unused credits may be carried forward for 10 years, provided that the increase in port; Taxpayer that creates 50 jobs in a Tier 1 county and increases its port; The port; Taxpayer qualifies for a port",450 million; 150 million; 100 million; 5 million; 25 million; 10 million; 1 million; 7 million; 600 million; 800 million; 500 million; 52.5 million,"January 1, 2013; 2012; 2014; 2013; 2005",copied
CAND_EA6E724597,review,"Presentation to Annual General Meeting held on April 17, 2024",www.sec.gov,/home/sm11926/Downloads/Ev_Crawler_Automation/Tavily_ev-automation-main/outputs/pipeline_runs/batch_000_499/final_docs/review/CAND_EA6E724597_nvx-ex99_3.htm,/home/sm11926/Downloads/Ev_Crawler_Automation/Tavily_ev-automation-main/outputs/pipeline_runs/batch_000_499/final_docs/review/CAND_EA6E724597_nvx-ex99_3.htm,Port of Savannah Georgia battery materials freight and trade exposure company filing site:sec.gov battery facility supplier risk,web_only,supplier_tiering,2024,HTML,60.85,91.21,90.61,53.26,67.31,0.9608,0.7901,82.44,,,,,,"[1] fety, and wellbeing of our employees and the communities we operate in are essential to NOVONIX’s success and growth Governance NOVONIX believes corporate governance is central to its business objectives and a critical element contributing to the preservation of shareholder value 1 2 3 4 5 6 7 8 9 10 Workforce Health & Safety Business Ethics Energy Management Greenhouse Gas Emissions Product Safety Employee Engagement Air Quality Waste & Hazardous Waste Mgmt. Supply Chain Environmental Impact Cy || [2] and information concerning our industry and our business involve a number of assumptions and limitations. Although we are responsible for all of the disclosure contained in this Presentation and we believe the third-party market position, market opportunity and market size data included in this Presentation are reliable, we have not independently verified the accuracy or completeness of this third-party data. Information that is based on projections, assumptions and estimates of our future perfo || [3] proprietary systems for thermal processing Company Logos ASX: NVX Nasdaq: NVX Annual General Meeting, April 2024 11 Market is estimating ~20% North American growth in 2024. Some OEMs have slowed plans, but new entrants have increased overall demand Government incentives are supporting the projected ~ 50% adoption rate in electric vehicle by 2030 Forecasted EV demand showing double digit growth through 2030 Strong EV Growth Building Pressure for a Localized Supply Chain Global Trade Policies Supp || [4] Joint Venture with NVX “merging” Mount Dromedary asset in exchange for shares in LEL subsidiary, Axon Graphite Axon Graphite holds the Burke and Corella Tenements in Queensland Intend to list Axon Graphite on the ASX to raise new capital targeting between A$15 million – A$25 million Axon’s principal activities will include: Advancing the development of the Burke/Mt. Dromedary graphite projects; Advancing the exploration, evaluation and development of the Corella graphite project; Progressing the || [5] erences should not be construed as any indicator that their respective owners will not assert, to the fullest extent under applicable law, their right thereto. All other trademarks, trade names and service marks appearing in this Presentation are the property of their respective owners.​ Company Logo ASX: NVX Nasdaq: NVX Annual General Meeting, April 2024 2 Providing Revolutionary Solutions to the Battery Industry​ Investment Highlights Battery Technology Solutions division provides competitive ",Passed shortlist thresholds but missed one or more LLM judge thresholds.,,,,Port of Savannah,"Savannah Georgia battery materials freight and trade exposure company filing site; Riverside facility; Energy, ability to satisfy future capital needs, and the timing of our future site; Negligible facility; Secure Financing to Scale Operations Complete Riverside engineering to optimize facility; Leverage Riverside engineering to progress Greenfield facility; Continue to allocate Greenfield facility; MESC grant funds Monetize 48C tax credit to scale future production at Riverside facility; Progress DOE Loan Program Office application for Greenfield facility; Overview Readiness for Commercial Production Purchased and opened Riverside facility",30 million; 100 million; 150 million,"April 17, 2024; Sept 12, 2023; 2024; 2023; 2022; 2025; 2021; 2030",copied
CAND_FB025E8336,review,"The Port of Savannah Logistics Cluster | Port Economics, Management and Policy",porteconomicsmanagement.org,"/home/sm11926/Downloads/Ev_Crawler_Automation/Tavily_ev-automation-main/outputs/pipeline_runs/batch_000_499/final_docs/review/CAND_FB025E8336_The_Port_of_Savannah_Logistics_Cluster_Port_Economics,_Management_and_Policy.html","/home/sm11926/Downloads/Ev_Crawler_Automation/Tavily_ev-automation-main/outputs/pipeline_runs/batch_000_499/final_docs/review/CAND_FB025E8336_The_Port_of_Savannah_Logistics_Cluster_Port_Economics,_Management_and_Policy.html",Port of Savannah Georgia battery logistics and supplier network supplier relationships customer dependencies offtake joint venture,web_only,logistics_risk,2020-03-07T19:27:34+00:00,HTML,59.6,84.33,88.88,53.83,65.94,0.9417,0.7785,79.06,,,,,,"[1] Author: Dr. Jean-Paul Rodrigue The port of Savannah has become an important gateway and logistics cluster for the North American market. CHAPTER CONTENTS Toggle 1. The Emergence of the Savannah Gateway The port of Savannah is under the jurisdiction of the Georgia Ports Authority (GPA) and has become a major commercial gateway along the American East Coast. Up to the 1990s, the port used to be dominantly focusing on exports such as paper and chemicals. Savannah was a relatively small container po || [2] generation and economic development by securing land in proximity to a rail terminal (CSX) and making it available for the development of logistics activities. Another goal is to improve the hinterland of the port of Savannah in southwestern Georgia, in the Florida panhandle, and in western Alabama, competing more effectively with the port of Mobil. While in terms of the traffic it could be a zero-sum game, lower inland distribution costs could lead to indirect economic benefits. The rail link m || [3] egy for American logistics zones. Importers are using this advantage to delay payments on their imports until they are leaving the FTZ to their stores or regional distribution centers. The logistic cluster of Savannah was granted FTZ status in 1984. The Savannah Airport Commission is the Grantee for FTZ 104. The zone has transitioned to Alternative Site Framework (ASF), where companies located in a designated ASF county, can now quickly and inexpensively be designated with FTZ status. 2. Port-Ce || [4] about 70 km inland. In the current setting of port competition, the Georgia Ports Authority is concerned about draft issues in the Savannah harbor. Still, the port saw a surge in its traffic to 5.9 million TEU by 2022, particularly in light of the expansion of the Panama Canal and the dredging of the harbor to a depth of 47 feet from its draft of 42 feet. This requires several modifications of the existing terminal facilities, particularly the Garden City Container terminal. However, the footpri || [5] three major trends: The first concerns demographic and commercial changes that have attracted cargo that conventionally transited through the middle or North Atlantic ranges of the East Coast. The second concerns investments in port infrastructures to provide additional capacity, shorter transit times through the all-water Panama route to complement and sometimes circumvent the rail landbridge from Pacific Coast ports. Large assets of greenfield real estate and lower labor costs, enabling to pos",Passed shortlist thresholds but missed one or more LLM judge thresholds.,,,,Port of Savannah; Savannah port,"The port; Around the same time, the port; A comprehensive analysis of the port; The Emergence of the Savannah Gateway The port; Up to the 1990s, the port; Savannah was a relatively small container port; Charleston, a nearby competing port; Since it is within the general mandate of GPA to promote port; This includes access to the American Southeast, with the port; Jean-Paul Rodrigue The port; The second concerns investments in port; FTZ The development of logistics activities is strongly related to the level of port; An important characteristic of the port; The first step was site; It then contacted developers who might be interested in developing the site",15 million; 1.81 million; 1.82 million; 2.7 million; 26 tons; 1.6 million; 400 tons; 1.8 million; 5 million; 5.9 million,2052; 2057; 2022; 2016; 2011; 2015; 2000; 2007; 2010; 2008,copied
CAND_AE87F319D1,review,"Annual GPA ports guide and directory, 2010-2011 - Digital Library of Georgia",dlg.usg.edu,/home/sm11926/Downloads/Ev_Crawler_Automation/Tavily_ev-automation-main/outputs/pipeline_runs/batch_000_499/final_docs/review/CAND_AE87F319D1_dlg_ggpd_y-ga-bp900-b-ps1-bp62-b2010-h2011-belec-p-btext.html,/home/sm11926/Downloads/Ev_Crawler_Automation/Tavily_ev-automation-main/outputs/pipeline_runs/batch_000_499/final_docs/review/CAND_AE87F319D1_dlg_ggpd_y-ga-bp900-b-ps1-bp62-b2010-h2011-belec-p-btext.html,Port of Savannah Georgia battery logistics and supplier network policy incentives IRA tax credit grant workforce site readiness,web_only,policy_localization,2010,HTML,59.19,80.61,90.43,49.01,65.08,0.928,0.8751,83.63,,,,,,"[1] Team can be found within the directory portion of this guide. Q: What ocean carriers serve Georgia's ports? A: The GPA serves every major trade lanes around the globe. For container service transit information, ""The Global Carrier Services Tool"" is found at www.gaports.com under ""Quick Reference"". This easy-to-use interactive tool provides transit times via ocean, rail and truck. Each issue of Georgia AnchorAge, the GPA's quarterly magazine, contains a sailing schedule for all carrier services ( || [2] s environment and its resources. ""Maintaining the natural quality of the environment has long been a part of our mission, but the Environmental Policy provides clear direction from senior management regarding how the GPA will approach the implementation of an effective and manageable environmental strategy,"" says Wilson Tillotson, GPA Senior Director of Engineering and Facilities Maintenance. Adoption of the GPA's new environmental policy dovetailed with Savannah's selection as one of five North || [3] the GPA's overall mission and goals. we will strive to: meet or exceed all applicable federal, state, and local regulations and other commitments; define and establish environmental objectives, targets and best management practices and monitor performance; minimize pollution from port operations; continually improve the port's performance; ensure that the environmental management policy is available to staff, tenants, customers and the general public; and communicate our performance to the commu",Strong enough evidence and ranking signals to keep for manual review even without a strict shortlist pass.,,,,Port of Savannah; Savannah port; Garden City Terminal; Port of Brunswick,"IRA tax credit grant workforce site; RE READY The GPA is committed to conducting port; Geography put the port; Need a port; Commercial Corridors Tool for up-to-date site; For the site; How close is the site; Is the site; Is there good connectivity to the port; Why does one port; Does the port; Is your port; They understand the long-term ramifications an inadequate site; Three important questions should remain at the forefront throughout the site; At the same time, the port",32.75042%; 2.356 million; 6.5 million,"FEB 1, 2011; 2010; 2011; 2009; 2008",copied
CAND_A63E959ADD,review,Investor Presentation - SEC.gov,www.sec.gov,/home/sm11926/Downloads/Ev_Crawler_Automation/Tavily_ev-automation-main/outputs/pipeline_runs/batch_000_499/final_docs/review/CAND_A63E959ADD_ea024263701ex99-1_athena2.htm,/home/sm11926/Downloads/Ev_Crawler_Automation/Tavily_ev-automation-main/outputs/pipeline_runs/batch_000_499/final_docs/review/CAND_A63E959ADD_ea024263701ex99-1_athena2.htm,Port of Savannah Georgia battery materials freight and trade exposure company filing site:sec.gov battery facility supplier risk,web_only,logistics_risk,2025,HTML,58.61,93.9,90.81,49.01,63.84,0.8484,0.655,83.3,,,,,,"[1] Exhibit 99.1 An IP - driven battery recycling technology company May 2025 Ace Green Recycling, Inc. This presentation contains statements regarding Ace Green Recycling, Inc. (“Ace Green”), with whom Athena Technology Acquisition Corp. II (“Athena”) has entered into a business combination agreement to consummate a business combination (the “Business Combination”), and other matters that are forward - looking statements within the meaning of Section 27A of the Securities Act of 1933, as amended, a || [2] future financial position, business strategy, production capacity, competitive positions, growth opportunities, plans and objectives of management and (ii) the expected benefits of the Business Combination, together with other statements that are not historical facts, are forward - looking statements that are estimates reflecting management’s best judgment based upon currently available information. Such forward - looking statements are inherently uncertain, and stockholders and other potential  || [3] Solely - owned and operated • LFP battery recycling • Commercially operating pilot Armenia / Georgia Facility • Licensed • Lead and Lithium battery recycling • Anticipated launches in Q4 2025 9 Solely - Owned & Operated Model 2 1B 1A Phase Lithium – LFP Lead Lead Battery Feedstock New Modular Expansion New Stage 2027 2027 H1 2026 Anticipated Launch 5,000 100,000 30,000 Initial Volume (equivalent Scrap Batteries in MT/year) Feedstock Ace is developing and building out its flagship U.S. recycling ",Strong enough evidence and ranking signals to keep for manual review even without a strict shortlist pass.,,,,Port of Savannah,Savannah Georgia battery materials freight and trade exposure company filing site; Texas lead and LFP facility; India LFP facility; Taiwan lead facility; Full control over plant; First commercial LFP battery recycling facility; Inspections and operational approvals for lead facility; Commercial launch of Phase 1A lead facility; Inspections and operational approvals for lithium facility; Commercial launch of Phase 2 LFP lithium facility; Tons PA Minimum viable plant; Texas facility; Lower minimum viable plant; Phase I capacity Strategically located Scalable industrial facility; Direct rail access to ACE facility,000 Tons; 4.7 million; 24.1 million; 23 million; 8.5 million; 50 million; 25 million,"April 30, 2025; December 31, 2024; 2025; 2026; 2027; 2024",copied
CAND_EC164BEA16,review,"Savannah, GA: A Strategic Gateway for International Trade",www.averitt.com,/home/sm11926/Downloads/Ev_Crawler_Automation/Tavily_ev-automation-main/outputs/pipeline_runs/batch_000_499/final_docs/review/CAND_EC164BEA16_savannah-georgia-logistics-hub.html,/home/sm11926/Downloads/Ev_Crawler_Automation/Tavily_ev-automation-main/outputs/pipeline_runs/batch_000_499/final_docs/review/CAND_EC164BEA16_savannah-georgia-logistics-hub.html,Port of Savannah Georgia battery logistics and supplier network infrastructure risk permitting utility workforce,pdf_only,logistics_risk,2022,HTML,58.0,80.19,86.69,54.26,64.75,0.9237,0.8357,74.12,,,,,,"[1] For many, the name Savannah evokes images of moss-draped oaks and historic cobblestone streets. Yet beneath this picturesque Southern charm lies another reality altogether: the city's role as one of the most important logistics and distribution centers in international trade. Several factors contribute to Savannah’s rise as a global logistics hub. Geographic Location Founded in 1733, Savannah has long been deeply intertwined with trade and logistics. Nestled on the Savannah River, just a stone's || [2] their eye off markets closer to home. Following the Panama Canal's expansion, the spotlight shifted towards the Midwest as a crucial area for logistics and trade. In response, the Georgia Ports Authority launched the Mid-American Arc initiative to enhance intermodal rail services and extend the Port of Savannah's influence across key inland markets, from Atlanta to Memphis, Dallas, St. Louis, Chicago, and into the Ohio Valley. A key component of this effort is the Port of Savannah International  || [3] traffic congestion and emissions. The project will link two on-dock rail yards served by CSX and Norfolk Southern, expanding the Port of Savannah’s rail lift capacity from 500,000 to more than 2 million TEUs per year. The GPA is also focusing on infrastructure improvements to accommodate larger vessels and increase operational capacity. For example, the Garden City Terminal has been expanded to handle seven ships simultaneously, including four vessels of 16,000+ TEUs. The Ocean Terminal is under || [4] swift and seamless connections between land and sea. The city serves as a gateway not only to the Southeast but to the heart of the U.S., with 65 percent of the population reachable within a two-day drive. Port Capacity and Infrastructure The Port of Savannah, operated by the Georgia Ports Authority (GPA), is home to the largest single-terminal container facility of its kind in North America and is one of the busiest container gateways in the nation. The Savannah Harbor Expansion Project (SHEP), || [5] Capabilities ! For over half a century, Averitt has been helping our customers succeed. We do it through a mix of passion, pride, and a powerful network of innovative transportation and logistics services. These services are spread across five main units that align with how shippers think and work. This not only streamlines. it creates a unified single-source offering that delivers a world of benefits all in one place. We call it the Power of One, and it's the key to our position as an industry ",Passed shortlist thresholds but missed one or more LLM judge thresholds.,,,,Port of Savannah; Garden City Terminal,Port of Savannah as the home of the largest on-port rail facility; This geographic advantage has made it a key port; The Future Looks Bright Savannah has emerged as a pivotal hub,1 million; 3 million; 2055%; 6 million; 9.5 million; 2 million; 11 million; 128 million,2055; 2022; 2025; 2024,copied
CAND_3084EE6CB5,review,electra battery materials corporation - SEC.gov,www.sec.gov,/home/sm11926/Downloads/Ev_Crawler_Automation/Tavily_ev-automation-main/outputs/pipeline_runs/batch_000_499/final_docs/review/CAND_3084EE6CB5_exh_992.htm,/home/sm11926/Downloads/Ev_Crawler_Automation/Tavily_ev-automation-main/outputs/pipeline_runs/batch_000_499/final_docs/review/CAND_3084EE6CB5_exh_992.htm,Port of Savannah Georgia battery materials freight and trade exposure company filing site:sec.gov battery facility supplier risk,web_only,who_where_scale,"JUNE 30, 2025",HTML,57.54,94.38,92.86,48.05,62.71,0.7841,0.5515,81.77,,,,,,"[1] service, malware or other forms of cyberattacks. While the Company has taken measures to protect against those types of attacks, those measures may not adequately protect its on-line activities from such attacks. The Company’s risk and exposure to these matters cannot be fully mitigated because of, among other things, the evolving nature of these threats. As a result, cyber security and the continued development and enhancement of controls, processes and practices designed to protect systems, co || [2] and regulatory changes that could have an adverse effect on the Company and its financial condition. In particular, there is uncertainty regarding U.S. tariffs and support for existing treaty and trade relationships, including with Canada. Implementation by the U.S. government of new legislative or regulatory policies could impose additional costs on the Company, decrease U.S. demand for the Company’s products, or otherwise negatively impact the Company, which may have a material adverse effect  || [3] Financial Instruments 13 Risk Management 14 Financial Risk Factors 14 Business Risks and Uncertainties 14 Significant Accounting Estimates 17 Future Changes in Accounting Policies & Initial Adoption 17 Internal Control Over Financial Reporting 17 Cautionary Statement Regarding Forward-Looking Statements 18 Page 2 of 18 ELECTRA BATTERY MATERIALS CORPORATION MANAGEMENT’S DISCUSSION AND ANALYSIS FOR THE THREE AND SIX MONTHS ENDED JUNE 30, 2025 AND 2024 (expressed in thousands of Canadian dollars) G",Strong enough evidence and ranking signals to keep for manual review even without a strict shortlist pass.,,,,Port of Savannah,"Savannah Georgia battery materials freight and trade exposure company filing site; Class 3 Engineering study for the construction of a modular battery recycling facility; Company announced the launch of an early works program which encompasses targeted site; The facility; Once operational, the facility; Phase 4 involves the construction of a nickel sulfate plant; Refinery that demonstrated that the facility; The Company initiated construction to recommission the facility; All long-lead, custom-fabricated equipment is on site",500 tonnes; 1 million; 40 tonnes; 8 billion; 000 tonnes,"June 5, 2025; JUNE 30, 2025; September 16, 2025; December 31, 2024; July 13, 2011; September 4, 2018; December 6, 2021; July 31, 2025; June 30, 2024; March 28, 2025; June 19, 2025; June 12, 2025; March 21, 2025; September 10, 2024; March 5, 2025",copied
CAND_B256B3B485,review,Lineage | Georgia Port-Centric Expansion,www.onelineage.com,/home/sm11926/Downloads/Ev_Crawler_Automation/Tavily_ev-automation-main/outputs/pipeline_runs/batch_000_499/final_docs/review/CAND_B256B3B485_lineage-expands-port-centric-facility-footprint-savannah-georgia_2.html,/home/sm11926/Downloads/Ev_Crawler_Automation/Tavily_ev-automation-main/outputs/pipeline_runs/batch_000_499/final_docs/review/CAND_B256B3B485_lineage-expands-port-centric-facility-footprint-savannah-georgia_2.html,Port of Savannah Georgia battery logistics and supplier network battery value chain minerals CAM anode cell pack recycling,pdf_only,logistics_risk,"December 14, 2021",HTML,57.42,77.18,85.44,53.27,63.94,0.9206,0.7744,74.12,,,,,,"[1] ced the Phase I opening of its temperature-controlled warehouse on Tremont Road adjacent to the Port of Savannah. Serving both imported and exported products like poultry, the facility features a 19,000-square-foot blast freezer, a boxing room and customs brokerage capabilities to provide streamlined processing in and out of the port. Once fully operational, the facility will employ up to 100 Georgia residents. “We are thrilled to see Lineage’s significant investment in further strengthening our || [2] Company is set to break ground on a greenfield site that will handle imported fresh produce and perishables out of the Port of Savannah Lineage opens Phase 1 of a temperature-controlled warehouse that provides additional capacity for imported and exported frozen and refrigerated product Novi, MI – December 14, 2021 – Lineage, LLC (or the “Company”), the world’s largest and most innovative temperature-controlled industrial REIT and logistics solutions provider, today announced the strategic expan || [3] the task.” “Savannah is the fastest growing port and largest single container terminal in North America. Lineage’s new facilities in this high-demand location will provide additional capacity and value-added services in a critical market for our customers,” said Greg Lehmkuhl, Lineage’s President and CEO. “We are constantly looking for ways to maximize and further streamline Lineage’s total supply chain, and our meaningful growth in Savannah will offer customers increased access to faster, more  || [4] Ports Authority has led to their past success and laid the groundwork for their future growth in Savannah,” said Savannah Economic Development Authority President and CEO Trip Tollison. Combined, the newly announced facilities expand Lineage’s presence in the market by more than 500,000 square feet of capacity. In total, the Company’s network will span four facilities in Savannah with twelve facilities across the State of Georgia. Media Contacts : Lineage Megan Hendricksen 949.247.5172 mhendrick || [5] for the project’s construction. Operating as a cross-dock, in which product enters one side of the building and exits the other side via truck on the same day, the facility will also provide fumigation, packaging and other value-added services for customers to move fresh product efficiently to markets across the Southeast. Construction is expected to be complete by the end of 2022. In addition, Lineage announ",Passed shortlist thresholds but missed one or more LLM judge thresholds.,,,,Port of Savannah,"Company is set to break ground on a greenfield site; Today, Lineage announced its plans to break ground on a next-generation facility; Savannah is the fastest growing port; Serving both imported and exported products like poultry, the facility; Once fully operational, the facility; Additional capacity to support our growth will be a benefit to port",62 million; 2 billion,"December 14, 2021; 2021; 2023; 2022; 2019; 2020",copied
CAND_05B096ACEC,review,2019 ANNUAL REPORT | 1 Georgia Environmental Finance Authority,gefa.georgia.gov,/home/sm11926/Downloads/Ev_Crawler_Automation/Tavily_ev-automation-main/outputs/pipeline_runs/batch_000_499/final_docs/review/CAND_05B096ACEC_Georgia-Energy-Report-2022_1.pdf,/home/sm11926/Downloads/Ev_Crawler_Automation/Tavily_ev-automation-main/outputs/pipeline_runs/batch_000_499/final_docs/review/CAND_05B096ACEC_Georgia-Energy-Report-2022_1.pdf,Georgia battery site readiness workforce permitting and utilities recycling black mass hydrometallurgy recovery capacity,pdf_only,policy_localization,D:20221215092731-05'00',PDF,57.21,83.37,93.05,43.78,61.07,0.8238,0.7129,87.36,,,,,15,"[1] National Guard, a portion of SK Innovation’s employees will be Georgia veterans in support of the “Work for Warriors” Program.9 Ascend Elements is anticipated to invest $43 million in opening a commercial scale lithium-ion battery recycling plant. The company will recycle critical battery materials at a 98 percent recovery rate, then supply the viable materials back to the supply chain for continuous battery manufacturing. Located in Covington, Georgia, this facility will be the largest of its k || [2] GEORGIA ENVIRONMENTAL FINANCE AUTHORITY 15 Rivian Inc. (Rivian), an EV producer, is expanding to Georgia, with a $5 billion investment in the production of its electric adventure vehicle. The manufacturing facility will be located on a 2,000-acre megasite in Morgan and Walton Counties. The facility construction is expected to begin summer of 2022, with a goal for commercial production beginning in 2025. The new facility is expected to produce 400,000 vehicles annually and to employ more than 7,0 || [3] investment of $5.54 billion, the facility is expected to generate another $1 billion in outside investments and create more than 8,000 new jobs. The facility is scheduled to begin construction in January 2023 and expected to be fully operational in 2025. The vehicle factory will be capable of producing an annual capacity of 300,000 units over a wide range of models.7 SK Innovation is a global leader in developing and manufacturing lithium-ion batteries for EVs. SK Innovation is building its seco",Strong enough evidence and ranking signals to keep for manual review even without a strict shortlist pass.,,,,,"Georgia battery site; The manufacturing facility; The facility; The new facility; Rivian research center; Motor Company is building its first fully dedicated EV and battery manufacturing facility; The vehicle factory; SK Innovation is building its second EV battery manufacturing facility; Completion of the second facility; Located in Covington, Georgia, this facility",5 billion; 5.54 billion; 1 billion; 1.67 billion; 43 million; 37 million,2019; 2022; 2025; 2023,copied
CAND_5F0002B474,review,"Bartow County, Georgia Fulfills Location & Logistical ...",georgia.org,/home/sm11926/Downloads/Ev_Crawler_Automation/Tavily_ev-automation-main/outputs/pipeline_runs/batch_000_499/final_docs/review/CAND_5F0002B474_voestalpine.pdf,/home/sm11926/Downloads/Ev_Crawler_Automation/Tavily_ev-automation-main/outputs/pipeline_runs/batch_000_499/final_docs/review/CAND_5F0002B474_voestalpine.pdf,Georgia battery localization resilience and control tower policy or incentive analysis site:georgia.org,web_only,policy_localization,D:20140424120137-04'00',PDF,57.02,85.9,79.69,50.48,60.38,0.85,0.6824,80.99,,,,,"1, 2","[1] customers, all of which operate facilities in the Southeast. The selected location must benefit from nearby logistical arteries, easy recruitment of qualified technical talent, and community involvement that could support its specific manufacturing operations. After narrowing down the search to three locations in the Southeast, Georgia closed the deal with a set of valuable incentives, an ideal geographic location, and a community willing and eager to support all of the manufacturer’s logistical || [2] Georgia Department of Economic Development | 75 Fifth Street, NW | Suite 1200 | Atlanta, GA 30308 | +1.404.962.4000 Grow smarter and faster using industry experts and statewide resources for business relocation and expansion. Contact our team by visiting Georgia.org/GlobalCommerce. Georgia.org CASE Study voestalpine said Philipp Schulz, president, voestalpine Automotive Body Parts Inc. “The fact that the site was ready for construction saved us considerable time and money.” With voestalpine’s go || [3] in two days, and the Georgia Department of Economic Development worked closely with us the entire step of the way to ensure we found the perfect location,” Georgia.org Company: voestalpine Stamptec Inc. Manufacturing Facility type: 220 | $62 million Jobs & Investment: • Customized training assistance at no cost through Quick Start, the nation’s top ranked workforce training program • Equidistant geographical location to the company’s prime European customers with operations in North America. • I || [4] the county approved a temporary Certificate of Occupancy a full three months ahead of the official closing of the property, allowing voestalpine to meet initial production deadlines. Another crucial component to landing the deal in Georgia was the ability to recruit and provide a technically qualified workforce through Georgia’s Quick Start Program. Aligned with the T echnical College System of Georgia, Quick Start completed an extensive on-site study at voestalpine’s headquarters facility in Au || [5] Bartow County, Georgia Fulfills Location & Logistical Needs for European Automotive Supplier, voestalpine CASE Study dRIVER In order to better reach its international clients, automotive parts manufacturer voestalpine began the search in 2006 for a production site in the southeastern United States. As a key automotive market, a production facility in the southeast was a crucial component of the company’s successful globalization strategy. However, once the global economy took a downturn in 2007,",Passed shortlist thresholds but missed one or more LLM judge thresholds.,,,,Port of Savannah,"Certificate of Occupancy, allowing access to the site; As a key automotive market, a production facility; Highland 75 campus; The fact that the site; Certificate of Occupancy, voestalpine brought the first machine into the facility",62 million; 3.8 million,2006; 2007; 2011; 2013; 2017,copied
