Chunk_ID,Document_ID,Category,Entity_Type,Entity_Name,Chunk_Type,Char_Count,Token_Estimate,Embedding_Model,Embedding_Dimension,Created_Date,Last_Updated,Version,Status,Quality_Score,Retrieval_Count,Avg_Relevance_Score,Notes,Chunk_Text
CAND_7283366E31_CHUNK_01,CAND_7283366E31,Policy and Localization,Facet,"policy, incentives, and localization",page 11,1213,180,hashing_bow,512,2026-03-25,2026-03-25,1,Review,48.83,0,48.83,"page=11 facet=policy, incentives, and localization from overseas that are used in products assembled in Georgia. Whether a company’s needs are best served by locating in one of Georgia’s industrial parks with FTZ designation, or applying for FTZ designation of an individual facility located","from overseas that are used in products assembled in Georgia. Whether a company’s needs are best served by locating in one of Georgia’s industrial parks with FTZ designation, or applying for FTZ designation of an individual facility located elsewhere in Georgia, GDEcD can provide the right contacts to assist with the process. One-Stop Environmental Permitting Georgia is one of a handful of states whose environmental permitting program is consolidated with the U.S. Environmental Protection Agency (EPA) for the issuance of federal permits; a one-stop process that provides a faster turnaround than in most other states. The director of the Environmental Protection Division (EPD) of the Georgia Department of Natural Resources is authorized to grant all permits provided for by EPD-enforced laws. Major regulatory programs currently assigned to EPD include air quality control, water quality control and withdrawal, hazardous waste management, solid waste management and wastewater land application. The EPA allows the Georgia EPD to issue permits under the Federal Clean Water, Clean Air and Safe Drinking Water Acts. Georgia’s one-stop permitting reduces government red tape and enables companies to acquire"
CAND_7283366E31_CHUNK_02,CAND_7283366E31,Policy and Localization,Facet,"policy, incentives, and localization",page 8,1134,180,hashing_bow,512,2026-03-25,2026-03-25,1,Review,47.66,0,47.66,"page=8 facet=policy, incentives, and localization Job Tax Credits are subject to program requirements as outlined in O.C.G.A. § 48-7-40.17 and rules published by the Georgia Department of Revenue in regulation 560-7-8-.51. Research & Development Tax Credit Georgia offers an incentive to ne","Job Tax Credits are subject to program requirements as outlined in O.C.G.A. § 48-7-40.17 and rules published by the Georgia Department of Revenue in regulation 560-7-8-.51. Research & Development Tax Credit Georgia offers an incentive to new and existing business entities performing qualified research and development in Georgia. Qualified research expenses are defined in Section 41 of the Internal Revenue Code of 1986, as amended, except that all wages paid and all purchases of services and supplies must be for research conducted within the state of Georgia. Companies may claim a 10 percent tax credit of increased R&D expenses subject to a base amount calculation. The base amount = Current Year Georgia Gross Receipts x [(the average of the ratios of the company’s qualified Georgia research expenses to Georgia gross receipts for the preceding three taxable years) OR 0.300, whichever is less]. For new Georgia companies or for companies with no prior R&D expenditures in Georgia, the base amount is 30 percent of the current year’s Georgia gross receipts. The credit is determined by taking the current year’s qualified R&D"
CAND_7283366E31_CHUNK_03,CAND_7283366E31,Policy and Localization,Facet,"policy, incentives, and localization",page 9,1144,176,hashing_bow,512,2026-03-25,2026-03-25,1,Review,47.32,0,47.32,"page=9 facet=policy, incentives, and localization others, target groups include unemployed veterans, certain TANF (Temporary Assistance for Needy Families) and food stamp recipients, and certain residents of an Empowerment Zone (EZ) or Rural Renewal County (RRC). Participating companies ar","others, target groups include unemployed veterans, certain TANF (Temporary Assistance for Needy Families) and food stamp recipients, and certain residents of an Empowerment Zone (EZ) or Rural Renewal County (RRC). Participating companies are compensated by being able to reduce their federal income tax liability with a tax credit between $1,200 to $9,000 per qualified employee, depending on the target group. The most frequently certified WOTC is $2,400 for each adult new hire. An employer must request and receive certification from the Georgia Department of Labor that the new hire is a member of at least one of the nine WOTC target groups before the employer can claim the WOTC on its federal income tax return. Although veterans are the only target group currently approved to receive these credits, Congress may extend the credits to the other eight target groups, so employers are encouraged to submit the required paperwork for all new hires in any of the nine target groups to Georgia’s WOTC Coordinator no later than 28 calendar days after the new hire begins work. www.dol.state.ga.us/em/learn_about_tax_credits_and_incentives.htm"
CAND_7283366E31_CHUNK_04,CAND_7283366E31,Policy and Localization,Facet,"policy, incentives, and localization",page 11,1150,180,hashing_bow,512,2026-03-25,2026-03-25,1,Review,46.94,0,46.94,"page=11 facet=policy, incentives, and localization Local governments can expand the Freeport Exemption and authorize a call for a referendum to approve the creation of a Level Two Freeport Exemption, which would exempt from local property tax any business inventory or real property not cove","Local governments can expand the Freeport Exemption and authorize a call for a referendum to approve the creation of a Level Two Freeport Exemption, which would exempt from local property tax any business inventory or real property not covered in the Level One Freeport Exemption, including retail inventory. Like the Level One Exemption, counties and municipalities may choose to implement a Level Two Freeport Exemption at the 20, 40, 60, 80 or 100 percent level. other Incentives Foreign-Trade Zone (FTZ) Georgia is home to multiple FTZ sites and is a recognized leader in working with companies to facilitate use of the program. Importing and exporting are central to many businesses’ success, and the program streamlines those activities and lowers costs. The FTZ program allows qualified companies to defer, decrease, or eliminate duties on materials imported from overseas that are used in products assembled in Georgia. Whether a company’s needs are best served by locating in one of Georgia’s industrial parks with FTZ designation, or applying for FTZ designation of an individual facility located elsewhere in Georgia, GDEcD can provide the"
CAND_7283366E31_CHUNK_05,CAND_7283366E31,Policy and Localization,Facet,"policy, incentives, and localization",page 14,1128,180,hashing_bow,512,2026-03-25,2026-03-25,1,Review,46.56,0,46.56,"page=14 facet=policy, incentives, and localization available for investments in recycling or pollution control equipment and for defense plant manufacturing conversion to a new product. The duration of a project shall not exceed three years unless expressly approved in writing by the Commis","available for investments in recycling or pollution control equipment and for defense plant manufacturing conversion to a new product. The duration of a project shall not exceed three years unless expressly approved in writing by the Commissioner of the Georgia Department of Revenue. This credit may be applied against 50 percent of state corporate income tax liability and carried forward for 10 years. To be eligible to receive the credits, a taxpayer must submit a written application to the Georgia Department of Revenue requesting approval of the project plan within thirty (30) days of the completion of the project. Taxpayers may claim only one of the job, investment, or optional investment credits for a given project. *Recycle, Defense Conversion, Pollution Control Example: Taxpayer in a Tier 1 county invests $100 million in a manufacturing plant plus $25 million in recycling equipment. Taxpayer is eligible for a $7 million tax credit to reduce or eliminate Georgia corporate income tax. [$100 million x 5%] + [$25 million x 8%] = $7 million. Investment Tax Credits are subject to program requirements as outlined"
CAND_EA6E724597_CHUNK_01,CAND_EA6E724597,Supply Chain Evidence,Facet,"policy, incentives, and localization",segment 6,1259,180,hashing_bow,512,2026-03-25,2026-03-25,1,Review,47.53,0,47.53,"facet=policy, incentives, and localization fety, and wellbeing of our employees and the communities we operate in are essential to NOVONIX’s success and growth Governance NOVONIX believes corporate governance is central to its business objectives and a critical element contributing","fety, and wellbeing of our employees and the communities we operate in are essential to NOVONIX’s success and growth Governance NOVONIX believes corporate governance is central to its business objectives and a critical element contributing to the preservation of shareholder value 1 2 3 4 5 6 7 8 9 10 Workforce Health & Safety Business Ethics Energy Management Greenhouse Gas Emissions Product Safety Employee Engagement Air Quality Waste & Hazardous Waste Mgmt. Supply Chain Environmental Impact Cybersecurity/Data Protection Aligning our practices, policies, and operations with our mission to provide revolutionary solutions to the battery industry. Company Logo ASX: NVX Nasdaq: NVX Annual General Meeting, April 2024 7 Proprietary Process Technologies Leading the Clean Energy Transformation Environmental Benefits of NOVONIX Technology Reduced power requirements No reagents Clean power sources1 High-purity input materials 1 - Tennessee Valley Authority, 2022 Sustainability Report notes 52% of power is from carbon-free sources. 2 - The Life Cycle Assessment (LCA) conducted by Minviro Ltd. demonstrated a ~60% decrease in global warming potential (GWP) relative to conventional anode grade synthetic graphite versus Chinese product. Anode Technology"
CAND_EA6E724597_CHUNK_02,CAND_EA6E724597,Supply Chain Evidence,Facet,"policy, incentives, and localization",segment 3,1196,180,hashing_bow,512,2026-03-25,2026-03-25,1,Review,46.9,0,46.9,"facet=policy, incentives, and localization and information concerning our industry and our business involve a number of assumptions and limitations. Although we are responsible for all of the disclosure contained in this Presentation and we believe the third-party market position, m","and information concerning our industry and our business involve a number of assumptions and limitations. Although we are responsible for all of the disclosure contained in this Presentation and we believe the third-party market position, market opportunity and market size data included in this Presentation are reliable, we have not independently verified the accuracy or completeness of this third-party data. Information that is based on projections, assumptions and estimates of our future performance and the future performance of the industry in which we operate is necessarily subject to a high degree of uncertainty and risk due to a variety of factors, which could cause results to differ materially from those expressed in these publications and reports.​ Trademarks, Service Marks and Trade Names​ Throughout this Presentation, there are references to various trademarks, service marks and trade names that are used in the Company’s business. “NOVONIX,” the NOVONIX logo and other trademarks or service marks of NOVONIX appearing in this Presentation are the property of NOVONIX or its subsidiaries. Solely for convenience, the trademarks, service marks and trade names referred to in"
CAND_EA6E724597_CHUNK_03,CAND_EA6E724597,Supply Chain Evidence,Facet,"policy, incentives, and localization",segment 8,1221,180,hashing_bow,512,2026-03-25,2026-03-25,1,Review,46.45,0,46.45,"facet=policy, incentives, and localization proprietary systems for thermal processing Company Logos ASX: NVX Nasdaq: NVX Annual General Meeting, April 2024 11 Market is estimating ~20% North American growth in 2024. Some OEMs have slowed plans, but new entrants have increased overal","proprietary systems for thermal processing Company Logos ASX: NVX Nasdaq: NVX Annual General Meeting, April 2024 11 Market is estimating ~20% North American growth in 2024. Some OEMs have slowed plans, but new entrants have increased overall demand Government incentives are supporting the projected ~ 50% adoption rate in electric vehicle by 2030 Forecasted EV demand showing double digit growth through 2030 Strong EV Growth Building Pressure for a Localized Supply Chain Global Trade Policies Support Localization of US Supply Chain Battery Demand Remains Robust (GWh) +36% CAGR 1,259 150 Source: Benchmark Minerals Intelligence (December ‘23), Bernstein, Company Reports Strong U.S. reliance on Chinese graphite and battery materials presents challenges for IRA compliance China announced export controls for battery graphite. Recent trade statistics reported from Japan News showed China is limiting exports to Japan and United States U.S. IRC provides the advanced manufacturing production tax credit Section 45X and the revival of the qualifying advanced energy investment credit under Section 48C ESS Various OEMS Toyota Volkswagen BMW Stellantis Honda Ford GM Tesla Other 2023 2025 20230 Images Company Logo ASX:"
CAND_EA6E724597_CHUNK_04,CAND_EA6E724597,Supply Chain Evidence,Facet,"policy, incentives, and localization",segment 10,1287,180,hashing_bow,512,2026-03-25,2026-03-25,1,Review,46.18,0,46.18,"facet=policy, incentives, and localization Joint Venture with NVX “merging” Mount Dromedary asset in exchange for shares in LEL subsidiary, Axon Graphite Axon Graphite holds the Burke and Corella Tenements in Queensland Intend to list Axon Graphite on the ASX to raise new capital ta","Joint Venture with NVX “merging” Mount Dromedary asset in exchange for shares in LEL subsidiary, Axon Graphite Axon Graphite holds the Burke and Corella Tenements in Queensland Intend to list Axon Graphite on the ASX to raise new capital targeting between A$15 million – A$25 million Axon’s principal activities will include: Advancing the development of the Burke/Mt. Dromedary graphite projects; Advancing the exploration, evaluation and development of the Corella graphite project; Progressing the development of a vertically integrated Spherical Purified Graphite Battery Anode Material manufacturing facility in Queensland; and Investigating and potentially pursuing other prospective projects in the battery minerals sector both in Australia and abroad. LITHIUM ENERGY LTD Images Company Logo ASX: NVX Nasdaq: NVX Annual General Meeting, April 2024 15 2024 Focus Items - Set For Growth Maintain Industry Leading R&D Efforts for Battery Materials Scale Operations – On Track to Deliver Commercial Production Secure Tier 1 Customers Enhance BTS offerings for additional revenue and services Test high-nickel cathode materials from all-dry, zero-waste process in full-cell performance Advance artificial intelligence/machine learning models, products, and services Secure Financing to"
CAND_EA6E724597_CHUNK_05,CAND_EA6E724597,Supply Chain Evidence,Facet,"policy, incentives, and localization",segment 4,1348,180,hashing_bow,512,2026-03-25,2026-03-25,1,Review,45.83,0,45.83,"facet=policy, incentives, and localization erences should not be construed as any indicator that their respective owners will not assert, to the fullest extent under applicable law, their right thereto. All other trademarks, trade names and service marks appearing in this Presentati","erences should not be construed as any indicator that their respective owners will not assert, to the fullest extent under applicable law, their right thereto. All other trademarks, trade names and service marks appearing in this Presentation are the property of their respective owners.​ Company Logo ASX: NVX Nasdaq: NVX Annual General Meeting, April 2024 2 Providing Revolutionary Solutions to the Battery Industry​ Investment Highlights Battery Technology Solutions division provides competitive advantage to accelerate innovation Intellectual property portfolio for synthetic graphite manufacturing and all-dry, zero-waste NMC cathode synthesis Customer and government financing support paving a path to profitability as a sector leader Large and growing market for battery materials supported by localization efforts Leading U.S. based battery materials and technology company with lower carbon footprint Riverside Facility in Tennessee Company Logo ASX: NVX Nasdaq: NVX Annual General Meeting, April 2024 3 Competitive Advantage Through Synergistic Operating Structure​​ Develops industry leading lithium-ion battery testing equipment while providing R&D services In-house testing technology and data solutions accelerate rapid advancements compared to industry standards Data solutions leverage AI and machine-learning algorithms to predict"
CAND_FB025E8336_CHUNK_01,CAND_FB025E8336,Infrastructure and Risk,Facet,"policy, incentives, and localization",segment 1,1160,180,hashing_bow,512,2026-03-25,2026-03-25,1,Review,53.19,0,53.19,"facet=policy, incentives, and localization Author: Dr. Jean-Paul Rodrigue The port of Savannah has become an important gateway and logistics cluster for the North American market. CHAPTER CONTENTS Toggle 1. The Emergence of the Savannah Gateway The port of Savannah is under the juri","Author: Dr. Jean-Paul Rodrigue The port of Savannah has become an important gateway and logistics cluster for the North American market. CHAPTER CONTENTS Toggle 1. The Emergence of the Savannah Gateway The port of Savannah is under the jurisdiction of the Georgia Ports Authority (GPA) and has become a major commercial gateway along the American East Coast. Up to the 1990s, the port used to be dominantly focusing on exports such as paper and chemicals. Savannah was a relatively small container port with a traffic level well under Charleston, a nearby competing port with deeper drafts. Since it is within the general mandate of GPA to promote port and regional development, strategies were devised to increase container imports and promote Savannah as a commercial gateway of the American Southeast. Such growth was the outcome of three major trends: The first concerns demographic and commercial changes that have attracted cargo that conventionally transited through the middle or North Atlantic ranges of the East Coast. The second concerns investments in port infrastructures to provide additional capacity, shorter transit times through the all-water"
CAND_FB025E8336_CHUNK_02,CAND_FB025E8336,Infrastructure and Risk,Facet,"policy, incentives, and localization",segment 8,1109,167,hashing_bow,512,2026-03-25,2026-03-25,1,Review,51.19,0,51.19,"facet=policy, incentives, and localization generation and economic development by securing land in proximity to a rail terminal (CSX) and making it available for the development of logistics activities. Another goal is to improve the hinterland of the port of Savannah in southwester","generation and economic development by securing land in proximity to a rail terminal (CSX) and making it available for the development of logistics activities. Another goal is to improve the hinterland of the port of Savannah in southwestern Georgia, in the Florida panhandle, and in western Alabama, competing more effectively with the port of Mobil. While in terms of the traffic it could be a zero-sum game, lower inland distribution costs could lead to indirect economic benefits. The rail link mainly belongs to two short line operators, which confers the advantage of having a rail shuttle service that does not impair the existing CSX network. Satellite terminal activities and the possible development of an inland port underline a set of strategies spearheaded by the port authority to cope with the import-oriented functions generated by the freight distribution activities of North America’s largest “big box” retailers. Related Topics Port Terminals Terminals and Terminal Operators Logistics and Freight Distribution Freight Distribution Clusters Inland Ports References Reference a. Reference b."
CAND_FB025E8336_CHUNK_03,CAND_FB025E8336,Infrastructure and Risk,Facet,"policy, incentives, and localization",segment 3,1121,180,hashing_bow,512,2026-03-25,2026-03-25,1,Review,50.06,0,50.06,"facet=policy, incentives, and localization egy for American logistics zones. Importers are using this advantage to delay payments on their imports until they are leaving the FTZ to their stores or regional distribution centers. The logistic cluster of Savannah was granted FTZ status","egy for American logistics zones. Importers are using this advantage to delay payments on their imports until they are leaving the FTZ to their stores or regional distribution centers. The logistic cluster of Savannah was granted FTZ status in 1984. The Savannah Airport Commission is the Grantee for FTZ 104. The zone has transitioned to Alternative Site Framework (ASF), where companies located in a designated ASF county, can now quickly and inexpensively be designated with FTZ status. 2. Port-Centric Logistics: The Crossroads Business Park The Crossroads Business Park (CBP), designed in 1988, was the first logistics zones to be established in the Savannah logistics cluster, with its first user beginning operations in 1991. The logistics zone set in motion a business model and a development pattern that was replicated within the cluster with the setting of several other logistics zones. CBP is a 1,661 acres facility that comprises about 2.7 million square feet of warehousing space located directly adjacent to Interstate 95 (I95) within the City of Savannah. It is less than 10 km away from the gates of the"
CAND_FB025E8336_CHUNK_04,CAND_FB025E8336,Infrastructure and Risk,Facet,"policy, incentives, and localization",segment 7,1077,180,hashing_bow,512,2026-03-25,2026-03-25,1,Review,49.57,0,49.57,"facet=policy, incentives, and localization about 70 km inland. In the current setting of port competition, the Georgia Ports Authority is concerned about draft issues in the Savannah harbor. Still, the port saw a surge in its traffic to 5.9 million TEU by 2022, particularly in light","about 70 km inland. In the current setting of port competition, the Georgia Ports Authority is concerned about draft issues in the Savannah harbor. Still, the port saw a surge in its traffic to 5.9 million TEU by 2022, particularly in light of the expansion of the Panama Canal and the dredging of the harbor to a depth of 47 feet from its draft of 42 feet. This requires several modifications of the existing terminal facilities, particularly the Garden City Container terminal. However, the footprint will remain relatively similar, implying the densification of terminal operations, such as stacking and gate throughput. If these traffic projections become a reality, it will likely trigger a phase of additional development of logistics and manufacturing zones as the existing overcapacity will be filled. The port of Savannah has also experienced a shift in its trade orientation. In 2011 the Suez Canal accounted for 25% of the traffic handled by the port, while 50% was handled by the Panama Canal. By 2015, this ratio shifted to 48% in favor of Suez and 30% for Panama."
CAND_FB025E8336_CHUNK_05,CAND_FB025E8336,Infrastructure and Risk,Facet,"policy, incentives, and localization",segment 1,1250,180,hashing_bow,512,2026-03-25,2026-03-25,1,Review,49.52,0,49.52,"facet=policy, incentives, and localization three major trends: The first concerns demographic and commercial changes that have attracted cargo that conventionally transited through the middle or North Atlantic ranges of the East Coast. The second concerns investments in port infrast","three major trends: The first concerns demographic and commercial changes that have attracted cargo that conventionally transited through the middle or North Atlantic ranges of the East Coast. The second concerns investments in port infrastructures to provide additional capacity, shorter transit times through the all-water Panama route to complement and sometimes circumvent the rail landbridge from Pacific Coast ports. Large assets of greenfield real estate and lower labor costs, enabling to position the region as an attractive proposition for investments in warehousing and distribution. The Savannah logistics cluster was developed to capture hinterland commercial opportunities that were ill-serviced, particularly in the context of the changing commercial environment of freight distribution from the late 1980s. This includes access to the American Southeast, with the port hinterland covering about 44% of the American population. The immediate hinterland includes the Piedmont Atlantic region (Atlanta, Charlotte, etc.), which accounts for a population of 15 million. These developments have been related to the setting of a number of logistics zones within a radius of about 40 km from the port, forming a port-centric logistics cluster"
CAND_AE87F319D1_CHUNK_01,CAND_AE87F319D1,Policy and Localization,Facet,"policy, incentives, and localization",late,1219,180,hashing_bow,512,2026-03-25,2026-03-25,1,Review,47.45,0,47.45,"facet=policy, incentives, and localization Team can be found within the directory portion of this guide. Q: What ocean carriers serve Georgia's ports? A: The GPA serves every major trade lanes around the globe. For container service transit information, ""The Global Carrier Services","Team can be found within the directory portion of this guide. Q: What ocean carriers serve Georgia's ports? A: The GPA serves every major trade lanes around the globe. For container service transit information, ""The Global Carrier Services Tool"" is found at www.gaports.com under ""Quick Reference"". This easy-to-use interactive tool provides transit times via ocean, rail and truck. Each issue of Georgia AnchorAge, the GPA's quarterly magazine, contains a sailing schedule for all carrier services (container, breakbulk and RoRo) calling Savannah and Brunswick. Q: What is the Port of Savannah's throughput ranking among U.S. container ports? A: The Port of Savannah ranks fourth among U.S. container ports in volume. At the end of Calendar Year 2009, the Port of Savannah moved 2,356,511 TEUs. For additional ""Market Intelligence"", visit www.gaports.com/learnmore Q: What type of warehousing is available in the Savannah area? A: A complete listing of Savannah-area warehouse operations is found in this guide. For an interactive CD of Savannah-area warehouse operations, contact our Inside Sales Manager at 912.963.5591 (1.800.342.8012). Or, visit www.gaports.com and under ""Sales and Marketing"" select ""Domestic and"
CAND_AE87F319D1_CHUNK_02,CAND_AE87F319D1,Policy and Localization,Facet,"policy, incentives, and localization",middle,1273,180,hashing_bow,512,2026-03-25,2026-03-25,1,Review,47.37,0,47.37,"facet=policy, incentives, and localization s environment and its resources. ""Maintaining the natural quality of the environment has long been a part of our mission, but the Environmental Policy provides clear direction from senior management regarding how the GPA will approach the i","s environment and its resources. ""Maintaining the natural quality of the environment has long been a part of our mission, but the Environmental Policy provides clear direction from senior management regarding how the GPA will approach the implementation of an effective and manageable environmental strategy,"" says Wilson Tillotson, GPA Senior Director of Engineering and Facilities Maintenance. Adoption of the GPA's new environmental policy dovetailed with Savannah's selection as one of five North American ports chosen to participate in the American Association of Port Authorities' Environmental Management System a program setting the standards for and monitoring of participant ports' adherence to a strict code of environment-friendly policies. 22 make your move WE'RE READY The GPA is committed to conducting port operations in an environmentally sensitive and responsible manner to the extent feasible, practicable and consistent with the GPA's overall mission and goals. we will strive to: meet or exceed all applicable federal, state, and local regulations and other commitments; define and establish environmental objectives, targets and best management practices and monitor performance; minimize pollution from port operations; continually improve the port's"
