Row_Number,Candidate_ID,Title,Final_Decision,URL,FilePath,Filename,Retrieved_At,Match_Status
2,CAND_7283366E31,Business Incentives,review,https://powderspringsga.gov/DocumentCenter/View/2486/Georgia-Business-Incentives-Brochure,evAutomationUpdated/data/tavily ready documents/review/CAND_7283366E31_Georgia%20Business%20Incentives%20Brochure_201404101530397659.pdf,CAND_7283366E31_Georgia%20Business%20Incentives%20Brochure_201404101530397659.pdf,2026-03-25T15:28:47,published
3,CAND_EA6E724597,"Presentation to Annual General Meeting held on April 17, 2024",review,https://www.sec.gov/Archives/edgar/data/1859795/000095017024045550/nvx-ex99_3.htm,evAutomationUpdated/data/tavily ready documents/review/CAND_EA6E724597_nvx-ex99_3.htm,CAND_EA6E724597_nvx-ex99_3.htm,2026-03-25T15:28:47,published
4,CAND_FB025E8336,"The Port of Savannah Logistics Cluster | Port Economics, Management and Policy",review,https://porteconomicsmanagement.org/pemp/contents/part12/port-of-savannah-logistics-cluster,"evAutomationUpdated/data/tavily ready documents/review/CAND_FB025E8336_The_Port_of_Savannah_Logistics_Cluster_Port_Economics,_Management_and_Policy.html","CAND_FB025E8336_The_Port_of_Savannah_Logistics_Cluster_Port_Economics,_Management_and_Policy.html",2026-03-25T15:28:47,published
5,CAND_AE87F319D1,"Annual GPA ports guide and directory, 2010-2011 - Digital Library of Georgia",review,https://dlg.usg.edu/record/dlg_ggpd_y-ga-bp900-b-ps1-bp62-b2010-h2011-belec-p-btext,evAutomationUpdated/data/tavily ready documents/review/CAND_AE87F319D1_dlg_ggpd_y-ga-bp900-b-ps1-bp62-b2010-h2011-belec-p-btext.html,CAND_AE87F319D1_dlg_ggpd_y-ga-bp900-b-ps1-bp62-b2010-h2011-belec-p-btext.html,2026-03-25T15:28:47,published
6,CAND_A63E959ADD,Investor Presentation - SEC.gov,review,https://www.sec.gov/Archives/edgar/data/1882198/000121390025045028/ea024263701ex99-1_athena2.htm,evAutomationUpdated/data/tavily ready documents/review/CAND_A63E959ADD_ea024263701ex99-1_athena2.htm,CAND_A63E959ADD_ea024263701ex99-1_athena2.htm,2026-03-25T15:28:47,published
7,CAND_EC164BEA16,"Savannah, GA: A Strategic Gateway for International Trade",review,https://www.averitt.com/blog/savannah-georgia-logistics-hub,evAutomationUpdated/data/tavily ready documents/review/CAND_EC164BEA16_savannah-georgia-logistics-hub.html,CAND_EC164BEA16_savannah-georgia-logistics-hub.html,2026-03-25T15:28:47,published
8,CAND_3084EE6CB5,electra battery materials corporation - SEC.gov,review,https://www.sec.gov/Archives/edgar/data/1907184/000117184325005930/exh_992.htm,evAutomationUpdated/data/tavily ready documents/review/CAND_3084EE6CB5_exh_992.htm,CAND_3084EE6CB5_exh_992.htm,2026-03-25T15:28:47,published
9,CAND_B256B3B485,Lineage | Georgia Port-Centric Expansion,review,https://www.onelineage.com/news-stories/lineage-expands-port-centric-facility-footprint-savannah-georgia,evAutomationUpdated/data/tavily ready documents/review/CAND_B256B3B485_lineage-expands-port-centric-facility-footprint-savannah-georgia_2.html,CAND_B256B3B485_lineage-expands-port-centric-facility-footprint-savannah-georgia_2.html,2026-03-25T15:28:47,published
10,CAND_05B096ACEC,2019 ANNUAL REPORT | 1 Georgia Environmental Finance Authority,review,https://gefa.georgia.gov/document/publication/2022-georgia-energy-report/download,evAutomationUpdated/data/tavily ready documents/review/CAND_05B096ACEC_Georgia-Energy-Report-2022_1.pdf,CAND_05B096ACEC_Georgia-Energy-Report-2022_1.pdf,2026-03-25T15:28:47,published
11,CAND_5F0002B474,"Bartow County, Georgia Fulfills Location & Logistical ...",review,https://georgia.org/sites/default/files/2018-06/voestalpine.pdf,evAutomationUpdated/data/tavily ready documents/review/CAND_5F0002B474_voestalpine.pdf,CAND_5F0002B474_voestalpine.pdf,2026-03-25T15:28:47,published
